city,value
Cherkasy,2357600000
Cherkasy,23576000000
Chernihiv,2555900000
Chernivtsi,2455200000
Dnipro,0457600000
Ivano-Frankivsk,0953300000
Kharkiv,2055400000
Khmelnytskyi,2256400000
Kremenchuk,1656400000
Kryvyi Rih,0457800000
Kryvyi Rih,0457810000
Kyiv,2600000000
Lutsk,0355100000
Lviv,1356300000
Mykolaiv,1454900000
Odesa,1556400000
Poltava,1657000000
Poltava,1657010000
Rivne,1756400000
Sumy,1853100000
Ternopil,1954900000
Uzhhorod,0755900000
Vinnytsia,0253600000
Zhytomyr,0655200000
Zaporizhzhia,0856200000
Mukachevo,0750700000
R_Vinnytsia,0210000000
